Stress Period,PFHxS,PFOA,PFOS
97,0.02214499999999999,6.055e-05,0.0018248666666666664
98,0.023153243243243245,6.576583783783784e-05,0.0019972756756756757
99,0.023046,6.945700000000001e-05,0.0021333
100,0.023686065573770492,7.33860655737705e-05,0.0022659672131147544
101,0.02393101694915254,7.65898305084746e-05,0.0023796101694915253
102,0.02366666666666667,7.717833333333335e-05,0.0024066999999999995
103,0.025050864864864863,8.826891891891892e-05,0.0027923729729729735
104,0.024851,9.358599999999998e-05,0.002996533333333333
105,0.025483114754098358,9.859704918032787e-05,0.0031724098360655737
106,0.025721864406779666,0.00010294576271186441,0.0033327796610169496
107,0.025577000000000003,0.00010651333333333332,0.0034721
108,0.02682643243243243,0.00012054324324324323,0.003983227027027026
109,0.026468999999999996,0.00012673333333333334,0.0042339
110,0.027089180327868854,0.00013311639344262295,0.004467213114754099
111,0.026800322580645162,0.00013510967741935483,0.004554096774193549
112,0.026823448275862066,0.00013735862068965516,0.004642655172413793
113,0.02699580645161291,0.00014016451612903225,0.004748903225806452
114,0.027099,0.00014409333333333332,0.004901266666666667
115,0.02723677419354839,0.0001475774193548387,0.005036032258064516
116,0.027301333333333334,0.00015042,0.005148466666666666
117,0.02742387096774193,0.00015365161290322582,0.005273645161290323
118,0.027520322580645157,0.00015679032258064513,0.005397322580645161
119,0.027585333333333337,0.00015976,0.005514966666666667
120,0.027711935483870968,0.0001631161290322581,0.005646677419354839
121,0.027776666666666665,0.00016612000000000002,0.0057666666666666665
122,0.02789935483870967,0.0001694548387096774,0.0058981290322580645
123,0.027989354838709676,0.00017255161290322577,0.006021709677419354
124,0.027998928571428567,0.0001749714285714286,0.006120285714285714
125,0.028240967741935488,0.0001802322580645161,0.0063275483870967745
126,0.02836666666666667,0.00018583666666666663,0.006554533333333333
127,0.02852322580645162,0.00019031935483870965,0.006735096774193549
128,0.02860566666666667,0.00019368,0.006872066666666667
129,0.028742258064516125,0.0001974516129032258,0.007024580645161291
130,0.02885193548387097,0.00020112903225806452,0.00717458064516129
131,0.02893066666666667,0.00020458333333333328,0.007316499999999999
132,0.02907516129032258,0.00020851290322580646,0.007476838709677419
133,0.029154999999999997,0.0002119766666666667,0.0076208333333333345
134,0.029294193548387092,0.00021580322580645161,0.007777387096774193
135,0.029387096774193548,0.0002191290322580645,0.007915741935483871
136,0.029352857142857146,0.00022097142857142852,0.00799775
137,0.02950580645161291,0.00022376451612903228,0.008110516129032257
138,0.029515,0.00022497333333333332,0.008163233333333334
139,0.02959774193548387,0.00022641935483870971,0.008222225806451612
140,0.029656000000000002,0.00022768000000000002,0.008274166666666666
141,0.029792903225806446,0.00023076129032258065,0.008399387096774192
142,0.029897096774193544,0.000234658064516129,0.008562612903225807
143,0.030007666666666665,0.00023855,0.008726833333333331
144,0.030183870967741933,0.00024300967741935485,0.008912903225806451
145,0.030297666666666667,0.00024692999999999997,0.009079099999999998
146,0.030479032258064514,0.0002513258064516129,0.009263645161290322
147,0.030663870967741938,0.00025587741935483867,0.009455064516129033
