x,y,location,type
106,533,Peterson,Golf
106,534,Peterson,Golf
106,535,Peterson,Golf
106,536,Peterson,Golf
106,537,Peterson,Golf
106,538,Peterson,Golf
106,539,Peterson,Golf
106,540,Peterson,Golf
106,541,Peterson,Golf
106,542,Peterson,Golf
106,543,Peterson,Golf
106,544,Peterson,Golf
106,545,Peterson,Golf
106,546,Peterson,Golf
106,547,Peterson,Golf
106,548,Peterson,Golf
106,549,Peterson,Golf
106,550,Peterson,Golf
106,551,Peterson,Golf
106,552,Peterson,Golf
106,553,Peterson,Golf
106,554,Peterson,Golf
106,555,Peterson,Golf
106,556,Peterson,Golf
106,557,Peterson,Golf
107,533,Peterson,Golf
107,534,Peterson,Golf
107,535,Peterson,Golf
107,536,Peterson,Golf
107,537,Peterson,Golf
107,538,Peterson,Golf
107,539,Peterson,Golf
107,540,Peterson,Golf
107,541,Peterson,Golf
107,542,Peterson,Golf
107,543,Peterson,Golf
107,544,Peterson,Golf
107,545,Peterson,Golf
107,546,Peterson,Golf
107,547,Peterson,Golf
107,548,Peterson,Golf
107,549,Peterson,Golf
107,550,Peterson,Golf
107,551,Peterson,Golf
107,552,Peterson,Golf
107,553,Peterson,Golf
107,554,Peterson,Golf
107,555,Peterson,Golf
107,556,Peterson,Golf
107,557,Peterson,Golf
108,533,Peterson,Golf
108,534,Peterson,Golf
108,535,Peterson,Golf
108,536,Peterson,Golf
108,537,Peterson,Golf
108,538,Peterson,Golf
108,539,Peterson,Golf
108,540,Peterson,Golf
108,541,Peterson,Golf
108,542,Peterson,Golf
108,543,Peterson,Golf
108,544,Peterson,Golf
108,545,Peterson,Golf
108,546,Peterson,Golf
108,547,Peterson,Golf
108,548,Peterson,Golf
108,549,Peterson,Golf
108,550,Peterson,Golf
108,551,Peterson,Golf
108,552,Peterson,Golf
108,553,Peterson,Golf
108,554,Peterson,Golf
108,555,Peterson,Golf
108,556,Peterson,Golf
108,557,Peterson,Golf
109,533,Peterson,Golf
109,534,Peterson,Golf
109,535,Peterson,Golf
109,536,Peterson,Golf
109,537,Peterson,Golf
109,538,Peterson,Golf
109,539,Peterson,Golf
109,540,Peterson,Golf
109,541,Peterson,Golf
109,542,Peterson,Golf
109,543,Peterson,Golf
109,544,Peterson,Golf
109,545,Peterson,Golf
109,546,Peterson,Golf
109,547,Peterson,Golf
109,548,Peterson,Golf
109,549,Peterson,Golf
109,550,Peterson,Golf
109,551,Peterson,Golf
109,552,Peterson,Golf
109,553,Peterson,Golf
109,554,Peterson,Golf
109,555,Peterson,Golf
109,556,Peterson,Golf
109,557,Peterson,Golf
110,533,Peterson,Golf
110,534,Peterson,Golf
110,535,Peterson,Golf
110,536,Peterson,Golf
110,537,Peterson,Golf
110,538,Peterson,Golf
110,539,Peterson,Golf
110,540,Peterson,Golf
110,541,Peterson,Golf
110,542,Peterson,Golf
110,543,Peterson,Golf
110,544,Peterson,Golf
110,545,Peterson,Golf
110,546,Peterson,Golf
110,547,Peterson,Golf
110,548,Peterson,Golf
110,549,Peterson,Golf
110,550,Peterson,Golf
110,551,Peterson,Golf
110,552,Peterson,Golf
110,553,Peterson,Golf
110,554,Peterson,Golf
110,555,Peterson,Golf
110,556,Peterson,Golf
111,534,Peterson,Golf
111,535,Peterson,Golf
111,536,Peterson,Golf
