well_name,easting,northing,cell
SC01606516BBA1,527987.2346860545,4279589.466567577,"(0, 884, 192)"
SC01606516CCC1,527654.3227148007,4278016.302255731,"(0, 944, 138)"
SC01606516CCC2,527798.7180646656,4278201.7489041025,"(0, 940, 149)"
SC01606517AAA1,527607.8257093097,4279579.211981677,"(0, 875, 175)"
SC01606517AAA2,527600.5651319633,4279588.119568643,"(0, 875, 175)"
SC01606517DDA,527577.8794271493,4279156.5108159175,"(0, 893, 163)"
SC01606520AAA1,527461.1663067844,4277953.990424855,"(0, 942, 128)"
SC01606520AAB,527388.8662397342,4277892.0926466435,"(0, 943, 123)"
SC01606521BAB,528114.7822313927,4277678.853678111,"(0, 970, 149)"
SC01606521BBA1,527871.9807804049,4277986.239491221,"(0, 951, 147)"
SC01606521BBC,527703.7388581343,4277708.241954235,"(0, 959, 132)"
SC01606521BCB,527777.1106005725,4277461.909157001,"(0, 971, 129)"
SCO1406633DAC2,519085.47971167107,4293125.463546693,"(0, 76, 145)"
SCO1406634CCD,519858.51138599846,4292726.675607595,"(0, 112, 168)"
SCO1416633DAC1,519061.3610337535,4293125.405636787,"(0, 75, 143)"
SCO1506601BBD TH-53,523093.0479311195,4292211.5019267555,"(0, 215, 295)"
SCO1506602BBB TH-18,521171.6064359894,4292524.158672241,"(0, 154, 220)"
SCO1506602BDC,521477.5917693215,4291775.41401921,"(0, 194, 214)"
SCO1506602CAA,521816.0066532202,4291560.576648594,"(0, 212, 224)"
SCO1506603AAD,520994.1110055417,4292113.165418206,"(0, 167, 202)"
SCO1506603BAC,519980.46289681096,4292202.978167972,"(0, 138, 160)"
SCO1506604AAA,519352.2977759419,4292540.4620771315,"(0, 108, 141)"
SCO1506604AAB TH-49,519087.0521412312,4292478.158970119,"(0, 104, 128)"
SCO1506604ABA2 TH-50,519062.9229055881,4292478.101042165,"(0, 103, 127)"
SCO1506610BAA,520225.2236661967,4290847.347369592,"(0, 203, 137)"
SCO1506611ABC TH-47,521891.1277624462,4290574.413220931,"(0, 256, 202)"
