Well_ID,SDate,Result_ngL,x,y,geometry
MW4-1,2016-11-05,140.0,526302.4593417768,4296024.554497888,POINT (526302.4593417768 4296024.554497888)
MW4-1,2018-08-21,60.0,526302.4593417768,4296024.554497888,POINT (526302.4593417768 4296024.554497888)
MW4-2,2018-08-17,38.0,526195.3685503192,4296064.736165478,POINT (526195.3685503192 4296064.736165478)
MW4-3,2018-08-17,25.0,526241.2737632686,4296001.073594414,POINT (526241.2737632686 4296001.073594414)
MW4-4,2018-08-17,47.0,526143.2675026937,4296033.234108053,POINT (526143.2675026937 4296033.234108053)
PAFB07MW01,2018-08-08,92.0,526712.0927051868,4294182.589145022,POINT (526712.0927051868 4294182.589145022)
PAFB07MW02,2018-08-08,68.0,526679.8495082468,4294137.366398268,POINT (526679.8495082468 4294137.366398268)
PAFB07MW03,2018-08-19,190.0,526628.8228675117,4294166.899855179,POINT (526628.8228675117 4294166.899855179)
PETER01-001,2016-11-06,22.0,526614.4713106287,4294583.246689439,POINT (526614.4713106287 4294583.246689439)
MW2-5,2016-11-05,250.0,526372.7689720376,4296110.696153756,POINT (526372.7689720376 4296110.696153756)
MW2-5,2018-08-21,57.0,526372.7689720376,4296110.696153756,POINT (526372.7689720376 4296110.696153756)
MW-3,2018-08-08,29000.0,524902.3989162551,4297766.312502378,POINT (524902.3989162551 4297766.312502378)
MW1-5A,2018-08-08,19.0,525165.2991602574,4298045.481620597,POINT (525165.2991602574 4298045.481620597)
MW1-6,2018-08-08,30000.0,524815.4959821437,4297700.159495852,POINT (524815.4959821437 4297700.159495852)
MW1-7,2018-08-09,36000.0,524817.5838023947,4297542.81682151,POINT (524817.5838023947 4297542.81682151)
MW1-8,2017-05-11,1848.0,525041.3741536044,4297788.032295671,POINT (525041.3741536044 4297788.032295671)
MW1-8,2017-07-20,2311.0,525041.3741536044,4297788.032295671,POINT (525041.3741536044 4297788.032295671)
MW1-8,2018-08-09,2200.0,525041.3741536044,4297788.032295671,POINT (525041.3741536044 4297788.032295671)
PETER01-001,2018-08-20,0.0,526614.4713106287,4294583.246689439,POINT (526614.4713106287 4294583.246689439)
PETER01-002,2016-11-06,19.0,526415.008537294,4294504.90125366,POINT (526415.008537294 4294504.90125366)
PETER01-002,2018-08-20,0.0,526415.008537294,4294504.90125366,POINT (526415.008537294 4294504.90125366)
PETER01-003,2016-11-06,31.0,526692.6606497823,4294572.4122395,POINT (526692.6606497823 4294572.4122395)
PETER01-003,2018-08-20,16.0,526692.6606497823,4294572.4122395,POINT (526692.6606497823 4294572.4122395)
PETER02-001,2016-11-09,170.0,525695.7853789433,4296710.840729906,POINT (525695.7853789433 4296710.840729906)
PETER02-001,2018-08-09,100.0,525695.7853789433,4296710.840729906,POINT (525695.7853789433 4296710.840729906)
PETER-T01-MW002,2019-12-18,67.5,524339.4855911974,4297363.617929935,POINT (524339.4855911974 4297363.617929935)
PETER02-003,2016-11-10,350.0,525687.1762544981,4296688.619023902,POINT (525687.1762544981 4296688.619023902)
PETER02-003,2018-08-09,720.0,525687.1762544981,4296688.619023902,POINT (525687.1762544981 4296688.619023902)
PETER04-001,2016-11-07,25.0,526749.9985438768,4295593.528561841,POINT (526749.9985438768 4295593.528561841)
PETER04-001,2018-08-18,0.0,526749.9985438768,4295593.528561841,POINT (526749.9985438768 4295593.528561841)
PETER03-001,2016-11-08,5.1,527670.8418290304,4295452.4258461,POINT (527670.8418290304 4295452.4258461)
PETER04-002,2016-11-08,1800.0,526698.1281337498,4295526.771902849,POINT (526698.1281337498 4295526.771902849)
PETER03-001,2018-08-17,0.0,527670.8418290304,4295452.4258461,POINT (527670.8418290304 4295452.4258461)
PETER04-002,2018-08-18,1500.0,526698.1281337498,4295526.771902849,POINT (526698.1281337498 4295526.771902849)
PETER04-003,2016-11-07,230.0,526602.9557704859,4295426.579182354,POINT (526602.9557704859 4295426.579182354)
PETER04-003,2018-08-27,200.0,526602.9557704859,4295426.579182354,POINT (526602.9557704859 4295426.579182354)
PETER03-002,2016-11-08,150.0,527723.2092839351,4295374.929583353,POINT (527723.2092839351 4295374.929583353)
PETER03-002,2018-08-16,150.0,527723.2092839351,4295374.929583353,POINT (527723.2092839351 4295374.929583353)
PETER04-004,2016-11-07,24.0,526219.6710735653,4295802.601052237,POINT (526219.6710735653 4295802.601052237)
PETER04-005,2016-11-07,280.0,526411.3091307208,4295614.587763229,POINT (526411.3091307208 4295614.587763229)
PETER03-003,2016-11-08,28.0,527645.026432637,4295385.753839119,POINT (527645.026432637 4295385.753839119)
PETER04-004,2018-08-27,16.0,526219.6710735653,4295802.601052237,POINT (526219.6710735653 4295802.601052237)
PETER04-005,2018-08-27,210.0,526411.3091307208,4295614.587763229,POINT (526411.3091307208 4295614.587763229)
PETER03-003,2018-08-16,0.0,527645.026432637,4295385.753839119,POINT (527645.026432637 4295385.753839119)
PETER04-004,2019-12-18,17.2,526219.6710735653,4295802.601052237,POINT (526219.6710735653 4295802.601052237)
PETER04-006,2016-11-06,270.0,526495.1361480595,4296126.014187083,POINT (526495.1361480595 4296126.014187083)
PETER04-008,2016-11-11,68.0,525878.3990170682,4293959.381758248,POINT (525878.3990170682 4293959.381758248)
PETER04-008,2018-08-24,24.0,525878.3990170682,4293959.381758248,POINT (525878.3990170682 4293959.381758248)
PETER04-009,2016-11-11,13.0,524326.6137012013,4293077.815446153,POINT (524326.6137012013 4293077.815446153)
PETER04-009,2018-08-24,16.0,524326.6137012013,4293077.815446153,POINT (524326.6137012013 4293077.815446153)
PETER-T01-001,2017-12-05,230.0,524413.6774352783,4297320.022658476,POINT (524413.6774352783 4297320.022658476)
PETER05-001,2016-11-09,7400.0,525024.2088426484,4297696.3271699,POINT (525024.2088426484 4297696.3271699)
PETER05-001,2018-08-09,3800.0,525024.2088426484,4297696.3271699,POINT (525024.2088426484 4297696.3271699)
PETER-T01-002,2017-12-05,210.0,524337.4167241204,4297359.750492749,POINT (524337.4167241204 4297359.750492749)
PETER-T01-003,2017-12-05,220.0,524448.5826318867,4297295.453595309,POINT (524448.5826318867 4297295.453595309)
PETER-T01-MW002,2017-12-05,210.0,524339.4855911974,4297363.617929935,POINT (524339.4855911974 4297363.617929935)
PETER-T01-MW004,2018-08-19,160.0,524506.3339227533,4297250.398087038,POINT (524506.3339227533 4297250.398087038)
PETER-T01-MW002,2018-08-24,52.0,524339.4855911974,4297363.617929935,POINT (524339.4855911974 4297363.617929935)
PETER-T02-001,2017-12-01,38.0,525199.1856628091,4298091.463369722,POINT (525199.1856628091 4298091.463369722)
PETER-T02-002,2017-12-01,37.0,525019.7691796011,4298100.985596496,POINT (525019.7691796011 4298100.985596496)
PETER-T02-004,2017-12-02,22.0,525288.2627164212,4297999.864800016,POINT (525288.2627164212 4297999.864800016)
PETER-T02-005,2017-12-02,49.0,525432.5237166026,4297969.512044026,POINT (525432.5237166026 4297969.512044026)
PETER-T02-MW006,2018-08-24,6.6,525372.1341057618,4298203.602591419,POINT (525372.1341057618 4298203.602591419)
PETER-T03-001,2017-12-03,32.0,525082.7117183022,4297469.595178051,POINT (525082.7117183022 4297469.595178051)
PETER-T03-002,2017-12-03,2100.0,524958.4197625348,4297419.091050371,POINT (524958.4197625348 4297419.091050371)
PETER-T03-003,2017-12-03,40.0,525198.2873332006,4297486.62989972,POINT (525198.2873332006 4297486.62989972)
PETER-T03-MW002,2019-12-19,2200.0,524958.7302584014,4297419.576755071,POINT (524958.7302584014 4297419.576755071)
PETER-T03-MW004,2018-08-19,1700.0,524812.3902329208,4297372.393821721,POINT (524812.3902329208 4297372.393821721)
PETER-T03-MW004,2019-12-19,2200.0,524812.3902329208,4297372.393821721,POINT (524812.3902329208 4297372.393821721)
PETER-T04-002,2017-12-06,150.0,525091.5327972374,4296693.46452063,POINT (525091.5327972374 4296693.46452063)
PETER-T04-004,2017-12-07,560.0,525398.5347859076,4297000.130072474,POINT (525398.5347859076 4297000.130072474)
PETER-T04-004,2018-08-16,6400.0,525398.5347859076,4297000.130072474,POINT (525398.5347859076 4297000.130072474)
PETER-T04-005,2017-12-07,130.0,525426.9648128522,4297072.188042471,POINT (525426.9648128522 4297072.188042471)
PETER-T04-MW004,2018-08-16,6400.0,525402.7427067992,4296995.716140659,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW004,2019-12-19,6670.0,525402.7427067992,4296995.716140659,POINT (525402.7427067992 4296995.716140659)
PETER-T05-003,2017-12-14,30.0,526066.7596793169,4296284.95534927,POINT (526066.7596793169 4296284.95534927)
PETER-T07-MW006,2019-12-18,139.0,525503.1401239256,4294569.772044369,POINT (525503.1401239256 4294569.772044369)
PETER-T05-MW001,2018-09-07,820.0,525931.1467600339,4296149.727060978,POINT (525931.1467600339 4296149.727060978)
PETER-T05-MW005,2018-08-18,23.0,525919.462800266,4296554.783137517,POINT (525919.462800266 4296554.783137517)
PETER-T05-MW006,2018-08-17,98.0,526037.4921946196,4296249.993700227,POINT (526037.4921946196 4296249.993700227)
PETER-T04-MW006,2018-09-07,780.0,525168.0565880254,4296866.010345844,POINT (525168.0565880254 4296866.010345844)
PETER-T06-001,2018-01-06,0.0,526977.8499890778,4296291.1974892765,POINT (526977.8499890778 4296291.1974892765)
PETER-T06-003,2018-01-07,12.0,526976.634954057,4296236.662123155,POINT (526976.634954057 4296236.662123155)
PETER-T07-001,2017-12-18,690.0,525993.0015062707,4295232.000449742,POINT (525993.0015062707 4295232.000449742)
PETER-T07-002,2017-12-19,140.0,525780.2658122503,4295332.508946169,POINT (525780.2658122503 4295332.508946169)
PETER-T07-003,2017-12-19,990.0,525902.7705304238,4295280.032606349,POINT (525902.7705304238 4295280.032606349)
PETER-T07-004,2017-12-18,990.0,526118.8579092753,4295179.505618276,POINT (526118.8579092753 4295179.505618276)
PETER-T07-005,2017-12-18,190.0,526212.836057687,4295147.906711744,POINT (526212.836057687 4295147.906711744)
PETER-T07-MW004,2018-09-06,93.0,526111.0848655038,4295174.520961702,POINT (526111.0848655038 4295174.520961702)
PETER-T07-MW003,2018-09-06,77.0,525899.7775740043,4295274.930057076,POINT (525899.7775740043 4295274.930057076)
PETER-T05-001,2017-12-16,760.0,525935.2971488285,4296149.783268303,POINT (525935.2971488285 4296149.783268303)
PETER-T07-MW003,2019-12-18,41.8,525899.7775740043,4295274.930057076,POINT (525899.7775740043 4295274.930057076)
PETER-T05-002,2017-12-17,59.0,525903.4259597248,4296116.746630592,POINT (525903.4259597248 4296116.746630592)
PETER-T07-MW006,2018-09-10,220.0,525503.1401239256,4294569.772044369,POINT (525503.1401239256 4294569.772044369)
PETER-T13-MW003,2018-09-05,110.0,524380.1602391786,4293997.3173507685,POINT (524380.1602391786 4293997.3173507685)
PETER-T08-001,2018-01-05,170.0,527456.3738870886,4295212.947850771,POINT (527456.3738870886 4295212.947850771)
PETER-T13-MW001,2019-12-18,121.0,524377.7040459359,4293887.354277722,POINT (524377.7040459359 4293887.354277722)
PETER-T08-002,2018-01-06,26.0,527387.9305846638,4295288.892573729,POINT (527387.9305846638 4295288.892573729)
PETER-T08-MW001,2018-08-26,6.4,527456.0251940498,4295196.702912772,POINT (527456.0251940498 4295196.702912772)
PETER-T08-MW001,2019-12-20,87.6,527456.0251940498,4295196.702912772,POINT (527456.0251940498 4295196.702912772)
PETER-T09-003,2018-01-04,27.0,526802.28717174,4294624.825686799,POINT (526802.28717174 4294624.825686799)
PETER-T13-MW004,2018-08-28,310.0,524376.8218058306,4293769.423737448,POINT (524376.8218058306 4293769.423737448)
PETER-T10-001,2017-11-21,0.0,525997.2464711436,4293737.4046693295,POINT (525997.2464711436 4293737.4046693295)
PETER-T10-004,2017-11-28,11.0,526062.2775601088,4293650.509545532,POINT (526062.2775601088 4293650.509545532)
PETER-T11-MW001,2018-09-10,0.0,525603.9629447031,4293003.404251381,POINT (525603.9629447031 4293003.404251381)
PETER-T13-MW006,2018-08-28,590.0,524336.6861556543,4293395.4056647755,POINT (524336.6861556543 4293395.4056647755)
PETER-T13-MW006,2019-12-18,713.0,524336.6861556543,4293395.4056647755,POINT (524336.6861556543 4293395.4056647755)
PETER-T12-001,2017-11-18,10.0,525267.0751327378,4292613.121178036,POINT (525267.0751327378 4292613.121178036)
PETER-T12-002,2017-11-18,0.0,525059.7610099766,4292646.869547919,POINT (525059.7610099766 4292646.869547919)
PETER-T12-003,2017-11-18,8.7,525176.0820037929,4292633.429468649,POINT (525176.0820037929 4292633.429468649)
PETER-T12-004,2017-11-18,0.0,525355.108759509,4292608.673719706,POINT (525355.108759509 4292608.673719706)
PETER-T12-005,2017-11-27,0.0,525460.6446419902,4292573.354629212,POINT (525460.6446419902 4292573.354629212)
PETER-T12-MW003,2018-09-13,0.0,525180.821734477,4292640.905143511,POINT (525180.821734477 4292640.905143511)
PETER-T13-001,2017-12-15,97.0,524377.3636619722,4293885.296458949,POINT (524377.3636619722 4293885.296458949)
PETER-T13-002,2017-12-20,110.0,524377.7607336503,4294122.962952719,POINT (524377.7607336503 4294122.962952719)
PETER-T13-003,2017-12-16,380.0,524378.8660822791,4293991.934300911,POINT (524378.8660822791 4293991.934300911)
PETER-T13-004,2017-12-15,330.0,524375.1644591019,4293762.817776091,POINT (524375.1644591019 4293762.817776091)
PETER-T13-MW001,2018-09-05,120.0,524377.7040459359,4293887.354277722,POINT (524377.7040459359 4293887.354277722)
