Period,CELLID,STAGE,COND,RBOT,BOUNDNAME
1,"(0, 278, 664)",1816.0,583.8325,1815.9,jimmy
1,"(0, 279, 664)",1816.0,587.9465,1815.9,jimmy
1,"(0, 280, 664)",1816.0,587.9465,1815.9,jimmy
1,"(0, 281, 664)",1816.0,587.9465,1815.9,jimmy
1,"(0, 282, 664)",1816.0,587.9465,1815.9,jimmy
1,"(0, 283, 664)",1815.0,587.9465,1814.9,jimmy
1,"(0, 284, 664)",1815.0,587.9465,1814.9,jimmy
1,"(0, 285, 664)",1815.0,587.9465,1814.9,jimmy
1,"(0, 286, 664)",1814.0,587.9465,1813.9,jimmy
1,"(0, 287, 664)",1813.0,587.9465,1812.9,jimmy
1,"(0, 288, 664)",1813.0,587.9465,1812.9,jimmy
1,"(0, 289, 664)",1813.0,502.149,1812.9,jimmy
1,"(0, 224, 663)",1828.0,246.52,1827.9,jimmy
1,"(0, 225, 663)",1827.0,702.5385,1826.9,jimmy
1,"(0, 251, 663)",1821.0,773.057,1820.9,jimmy
1,"(0, 289, 663)",1812.0,198.9205,1811.9,jimmy
1,"(0, 290, 663)",1812.0,729.5705,1811.9,jimmy
1,"(0, 225, 662)",1828.0,46.4245,1827.9,jimmy
1,"(0, 226, 662)",1827.0,731.921,1826.9,jimmy
1,"(0, 227, 662)",1827.0,597.3485,1826.9,jimmy
1,"(0, 228, 662)",1827.0,168.0685,1826.9,jimmy
1,"(0, 250, 662)",1821.0,752.195,1820.9,jimmy
1,"(0, 251, 662)",1821.0,20.8615,1820.9,jimmy
1,"(0, 290, 662)",1812.0,30.264,1811.9,jimmy
1,"(0, 291, 662)",1811.0,759.541,1810.9,jimmy
1,"(0, 292, 662)",1811.0,138.686,1810.9,jimmy
1,"(0, 228, 661)",1827.0,429.28,1826.9,jimmy
1,"(0, 229, 661)",1827.0,597.3485,1826.9,jimmy
1,"(0, 230, 661)",1826.0,597.3485,1825.9,jimmy
1,"(0, 231, 661)",1826.0,597.3485,1825.9,jimmy
1,"(0, 232, 661)",1825.0,517.428,1824.9,jimmy
1,"(0, 249, 661)",1821.0,619.6795,1820.9,jimmy
1,"(0, 250, 661)",1821.0,153.0835,1820.9,jimmy
1,"(0, 292, 661)",1811.0,620.855,1810.9,jimmy
1,"(0, 293, 661)",1810.0,307.342,1809.9,jimmy
1,"(0, 232, 660)",1826.0,153.965,1825.9,jimmy
1,"(0, 233, 660)",1825.0,734.5655,1824.9,jimmy
1,"(0, 234, 660)",1825.0,91.674,1824.9,jimmy
1,"(0, 248, 660)",1821.0,3.232,1820.9,jimmy
1,"(0, 249, 660)",1821.0,619.6795,1820.9,jimmy
1,"(0, 293, 660)",1810.0,452.1985,1809.9,jimmy
1,"(0, 294, 660)",1809.0,490.396,1808.9,jimmy
1,"(0, 234, 659)",1825.0,642.892,1824.9,jimmy
1,"(0, 235, 659)",1825.0,337.6065,1824.9,jimmy
1,"(0, 248, 659)",1822.0,607.9265,1821.9,jimmy
1,"(0, 294, 659)",1811.0,251.809,1810.9,jimmy
1,"(0, 295, 659)",1810.0,726.926,1809.9,jimmy
1,"(0, 235, 658)",1825.0,396.959,1824.9,jimmy
1,"(0, 236, 658)",1825.0,612.9215,1824.9,jimmy
1,"(0, 247, 658)",1822.0,9.4025,1821.9,jimmy
1,"(0, 248, 658)",1822.0,754.252,1821.9,jimmy
1,"(0, 295, 658)",1811.0,8.521,1810.9,jimmy
1,"(0, 296, 658)",1810.0,735.153,1809.9,jimmy
1,"(0, 297, 658)",1810.0,235.061,1809.9,jimmy
1,"(0, 236, 657)",1825.0,92.849,1824.9,jimmy
1,"(0, 237, 657)",1824.0,617.9165,1823.9,jimmy
1,"(0, 238, 657)",1824.0,617.9165,1823.9,jimmy
1,"(0, 239, 657)",1824.0,583.8325,1823.9,jimmy
1,"(0, 246, 657)",1822.0,109.891,1821.9,jimmy
1,"(0, 247, 657)",1822.0,776.289,1821.9,jimmy
1,"(0, 297, 657)",1810.0,500.092,1809.9,jimmy
1,"(0, 298, 657)",1809.0,478.643,1808.9,jimmy
1,"(0, 239, 656)",1824.0,34.084,1823.9,jimmy
1,"(0, 240, 656)",1824.0,617.9165,1823.9,jimmy
1,"(0, 241, 656)",1823.0,617.9165,1822.9,jimmy
1,"(0, 242, 656)",1823.0,605.576,1822.9,jimmy
1,"(0, 243, 656)",1823.0,590.297,1822.9,jimmy
1,"(0, 244, 656)",1823.0,155.14,1822.9,jimmy
1,"(0, 245, 656)",1823.0,210.0855,1822.9,jimmy
1,"(0, 246, 656)",1822.0,676.094,1821.9,jimmy
1,"(0, 298, 656)",1809.0,256.804,1808.9,jimmy
1,"(0, 299, 656)",1809.0,721.931,1808.9,jimmy
1,"(0, 244, 655)",1823.0,435.4505,1822.9,jimmy
1,"(0, 245, 655)",1823.0,459.2505,1822.9,jimmy
1,"(0, 299, 655)",1809.0,13.222,1808.9,jimmy
1,"(0, 300, 655)",1809.0,735.153,1808.9,jimmy
1,"(0, 301, 655)",1808.0,230.36,1807.9,jimmy
1,"(0, 301, 654)",1808.0,505.0875,1807.9,jimmy
1,"(0, 302, 654)",1808.0,473.648,1807.9,jimmy
1,"(0, 302, 653)",1808.0,261.5055,1807.9,jimmy
1,"(0, 303, 653)",1808.0,710.472,1807.9,jimmy
1,"(0, 304, 653)",1807.0,86.385,1806.9,jimmy
1,"(0, 304, 652)",1807.0,563.8525,1806.9,jimmy
1,"(0, 305, 652)",1807.0,627.319,1806.9,jimmy
1,"(0, 306, 652)",1807.0,588.534,1806.9,jimmy
1,"(0, 307, 652)",1806.0,590.297,1805.9,jimmy
1,"(0, 308, 652)",1806.0,591.766,1805.9,jimmy
1,"(0, 309, 652)",1806.0,591.766,1805.9,jimmy
1,"(0, 310, 652)",1805.0,591.766,1804.9,jimmy
1,"(0, 311, 652)",1805.0,592.6475,1804.9,jimmy
1,"(0, 312, 652)",1805.0,593.823,1804.9,jimmy
1,"(0, 313, 652)",1804.0,866.7875,1803.9,jimmy
1,"(0, 314, 652)",1804.0,87.854,1803.9,jimmy
1,"(0, 314, 651)",1804.0,680.5015,1803.9,jimmy
1,"(0, 314, 650)",1804.0,398.1345,1803.9,jimmy
1,"(0, 315, 650)",1804.0,282.367,1803.9,jimmy
1,"(0, 315, 649)",1803.0,690.198,1802.9,jimmy
1,"(0, 315, 648)",1803.0,146.3255,1802.9,jimmy
1,"(0, 316, 648)",1803.0,575.018,1802.9,jimmy
1,"(0, 316, 647)",1803.0,438.9765,1802.9,jimmy
1,"(0, 317, 647)",1803.0,282.367,1802.9,jimmy
1,"(0, 317, 646)",1803.0,654.645,1802.9,jimmy
1,"(0, 318, 646)",1803.0,166.012,1802.9,jimmy
1,"(0, 318, 645)",1803.0,563.5585,1802.9,jimmy
1,"(0, 319, 645)",1803.0,428.9865,1802.9,jimmy
1,"(0, 319, 644)",1803.0,300.584,1802.9,jimmy
1,"(0, 320, 644)",1804.0,691.9605,1803.9,jimmy
1,"(0, 320, 643)",1804.0,37.61,1803.9,jimmy
1,"(0, 321, 643)",1804.0,729.5705,1803.9,jimmy
1,"(0, 322, 643)",1804.0,225.3645,1803.9,jimmy
1,"(0, 322, 642)",1804.0,510.964,1803.9,jimmy
1,"(0, 323, 642)",1804.0,440.4455,1803.9,jimmy
1,"(0, 323, 641)",1804.0,317.626,1803.9,jimmy
1,"(0, 324, 641)",1804.0,613.509,1803.9,jimmy
1,"(0, 324, 640)",1804.0,144.5625,1803.9,jimmy
1,"(0, 325, 640)",1803.0,758.0715,1802.9,jimmy
1,"(0, 326, 640)",1800.0,28.501,1799.9,jimmy
1,"(0, 326, 639)",1802.0,729.5705,1801.9,jimmy
1,"(0, 327, 639)",1799.0,201.271,1798.9,jimmy
1,"(0, 327, 638)",1801.0,556.8005,1800.9,jimmy
1,"(0, 328, 638)",1799.0,374.3345,1798.9,jimmy
1,"(0, 328, 637)",1801.0,383.737,1800.9,jimmy
1,"(0, 329, 637)",1800.0,547.398,1799.9,jimmy
1,"(0, 329, 636)",1801.0,210.6735,1800.9,jimmy
1,"(0, 330, 636)",1800.0,720.168,1799.9,jimmy
1,"(0, 330, 635)",1801.0,37.9035,1800.9,jimmy
1,"(0, 331, 635)",1800.0,758.0715,1799.9,jimmy
1,"(0, 332, 635)",1799.0,135.16,1798.9,jimmy
1,"(0, 333, 635)",1798.0,538.5835,1797.9,jimmy
1,"(0, 334, 635)",1798.0,594.1165,1797.9,jimmy
1,"(0, 335, 635)",1797.0,556.507,1796.9,jimmy
1,"(0, 341, 635)",1796.0,126.639,1795.9,jimmy
